,Alimento,Quantita,giorno,pasto,tipo
6,Fette biscottate ai cereali,g 30,Thursday,Colazione,Derivati_dei_Cereali
7,Fette biscottate al malto d'orzo,g 30,Thursday,Colazione,Derivati_dei_Cereali
8,Fette biscottate integrali,g 30,Thursday,Colazione,Derivati_dei_Cereali
9,Fiocchi d'avena,g 30,Thursday,Colazione,Derivati_dei_Cereali
10,Fiocchi di farro,g 40,Thursday,Colazione,Derivati_dei_Cereali
11,Fiocchi di frumento integrale,g 40,Thursday,Colazione,Derivati_dei_Cereali
12,Fiocchi di mais,g 30,Thursday,Colazione,Derivati_dei_Cereali
13,Formelle di frumento integrale,g 30,Thursday,Colazione,Derivati_dei_Cereali
14,Orzo soffiato,g 30,Thursday,Colazione,Derivati_dei_Cereali
0,Mele,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Thursday,Colazione,Frutta_Fresca
0,Latte Parzialmente scremato di vacca,g 200,Thursday,Colazione,Latte
0,Noci secche,g 20,Thursday,Colazione,Noci
1,Anacardi,g 20,Thursday,Colazione,Noci
2,Mandorle,g 20,Thursday,Colazione,Noci
3,Nocciole,g 20,Thursday,Colazione,Noci
0,Asparagi,,Thursday,Pranzo,Contorni
1,Bieta,,Thursday,Pranzo,Contorni
2,Carote,,Thursday,Pranzo,Contorni
3,Cetrioli,,Thursday,Pranzo,Contorni
4,Cicoria,,Thursday,Pranzo,Contorni
5,Cime di rapa,,Thursday,Pranzo,Contorni
6,Cipolle,,Thursday,Pranzo,Contorni
7,Fagiolini,,Thursday,Pranzo,Contorni
8,Finocchi,,Thursday,Pranzo,Contorni
9,Insalata mista,,Thursday,Pranzo,Contorni
10,Lattuga,,Thursday,Pranzo,Contorni
11,Melanzane,,Thursday,Pranzo,Contorni
12,Peperoni,,Thursday,Pranzo,Contorni
13,Pomodori,,Thursday,Pranzo,Contorni
14,Spinaci,,Thursday,Pranzo,Contorni
15,Zucchine,,Thursday,Pranzo,Contorni
0,Edamame,g 100,Thursday,Pranzo,Edamame
0,Mele,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Thursday,Pranzo,Frutta_Fresca
0,Pane bianco,g 40,Thursday,Pranzo,Pane
1,Pane integrale,g 50,Thursday,Pranzo,Pane
0,Salmone affumicato,g 80,Thursday,Pranzo,Pesce_Conservato copy
1,Tonno al naturale,g 90,Thursday,Pranzo,Pesce_Conservato copy
2,Tonno sott'olio,g 50,Thursday,Pranzo,Pesce_Conservato copy
0,Barretta Kinder,barretta 1,Thursday,Merenda,Barretta_Kinder
0,Mele,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Thursday,Merenda,Frutta_Fresca
0,Pane bianco,g 60,Thursday,Merenda,Pane
1,Pane integrale,g 70,Thursday,Merenda,Pane
0,Asparagi,,Thursday,Cena,Contorni
1,Bieta,,Thursday,Cena,Contorni
2,Carote,,Thursday,Cena,Contorni
3,Cetrioli,,Thursday,Cena,Contorni
4,Cicoria,,Thursday,Cena,Contorni
5,Cime di rapa,,Thursday,Cena,Contorni
6,Cipolle,,Thursday,Cena,Contorni
7,Fagiolini,,Thursday,Cena,Contorni
8,Finocchi,,Thursday,Cena,Contorni
9,Insalata mista,,Thursday,Cena,Contorni
10,Lattuga,,Thursday,Cena,Contorni
11,Melanzane,,Thursday,Cena,Contorni
12,Peperoni,,Thursday,Cena,Contorni
13,Pomodori,,Thursday,Cena,Contorni
14,Spinaci,,Thursday,Cena,Contorni
15,Zucchine,,Thursday,Cena,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Thursday,Cena,Frutta_Fresca
0,Pane bianco,g 60,Thursday,Cena,Pane
1,Pane integrale,g 70,Thursday,Cena,Pane
0,Calamari,g 200,Thursday,Cena,Pesce_Fresco
1,Coda di rospo,g 200,Thursday,Cena,Pesce_Fresco
2,Dentice,g 200,Thursday,Cena,Pesce_Fresco
3,Gamberi,g 200 (6 gamberoni o 40 gamberetti),Thursday,Cena,Pesce_Fresco
4,Merluzzo o Nasello,g 200,Thursday,Cena,Pesce_Fresco
5,Orata,g 200,Thursday,Cena,Pesce_Fresco
6,Pesce spada,g 200,Thursday,Cena,Pesce_Fresco
7,Platessa,g 200,Thursday,Cena,Pesce_Fresco
8,Polpo,g 200,Thursday,Cena,Pesce_Fresco
9,Salmone fresco,g 200,Thursday,Cena,Pesce_Fresco
10,Seppie,g 200,Thursday,Cena,Pesce_Fresco
11,Sgombro,g 200,Thursday,Cena,Pesce_Fresco
12,Spigola,g 200,Thursday,Cena,Pesce_Fresco
13,Tonno,g 200,Thursday,Cena,Pesce_Fresco
14,Cozze, 50 circa,Thursday,Cena,Pesce_Fresco
0,Olio, 5 cucchiaini,Thursday,Arco_Della_Giornata,Olio
0,Caffè,1 Tazzina,Tuesday,Colazione,Caffe
1,Caffè decaffeinato,1 Tazzina,Tuesday,Colazione,Caffe
0,Latte Parzialmente scremato di vacca,g 200,Tuesday,Colazione,Latte
0,Marmellata,3 cucchiaini,Tuesday,Colazione,Marmellata
0,Pane bianco,g 50,Tuesday,Colazione,Pane
1,Pane integrale,g 60,Tuesday,Colazione,Pane
0,philadelphia,g 30,Tuesday,Colazione,Philadelphia
0,Asparagi,,Tuesday,Pranzo,Contorni
1,Bieta,,Tuesday,Pranzo,Contorni
2,Carote,,Tuesday,Pranzo,Contorni
3,Cetrioli,,Tuesday,Pranzo,Contorni
4,Cicoria,,Tuesday,Pranzo,Contorni
5,Cime di rapa,,Tuesday,Pranzo,Contorni
6,Cipolle,,Tuesday,Pranzo,Contorni
7,Fagiolini,,Tuesday,Pranzo,Contorni
8,Finocchi,,Tuesday,Pranzo,Contorni
9,Insalata mista,,Tuesday,Pranzo,Contorni
10,Lattuga,,Tuesday,Pranzo,Contorni
11,Melanzane,,Tuesday,Pranzo,Contorni
12,Peperoni,,Tuesday,Pranzo,Contorni
13,Pomodori,,Tuesday,Pranzo,Contorni
14,Spinaci,,Tuesday,Pranzo,Contorni
15,Zucchine,,Tuesday,Pranzo,Contorni
0,Caciottina,g 50,Tuesday,Pranzo,Formaggi_E_Latticini
1,Crescenza,g 100,Tuesday,Pranzo,Formaggi_E_Latticini
2,Feta,g 100,Tuesday,Pranzo,Formaggi_E_Latticini
3,Formaggio cremoso,g 100,Tuesday,Pranzo,Formaggi_E_Latticini
4,Galbanino,g 50,Tuesday,Pranzo,Formaggi_E_Latticini
5,Mozzarella,g 100,Tuesday,Pranzo,Formaggi_E_Latticini
6,Parmigiano,g 50,Tuesday,Pranzo,Formaggi_E_Latticini
7,Ricotta di vacca, g 100,Tuesday,Pranzo,Formaggi_E_Latticini
8,Scamorza, g 50,Tuesday,Pranzo,Formaggi_E_Latticini
9,Stracchino,g 100,Tuesday,Pranzo,Formaggi_E_Latticini
0,Mele,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Tuesday,Pranzo,Frutta_Fresca
0,Pasta di farro,g 80,Tuesday,Pranzo,Pasta
1,Pasta di semola,g 70,Tuesday,Pranzo,Pasta
2,Pasta integrale,g 80,Tuesday,Pranzo,Pasta
0,Cioccolato fondente,g 20,Tuesday,Merenda,Cioccolato
0,Mele,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Tuesday,Merenda,Frutta_Fresca
0,Pane bianco,g 40,Tuesday,Merenda,Pane
1,Pane integrale,g 50,Tuesday,Merenda,Pane
0,Asparagi,,Tuesday,Cena,Contorni
1,Bieta,,Tuesday,Cena,Contorni
2,Carote,,Tuesday,Cena,Contorni
3,Cetrioli,,Tuesday,Cena,Contorni
4,Cicoria,,Tuesday,Cena,Contorni
5,Cime di rapa,,Tuesday,Cena,Contorni
6,Cipolle,,Tuesday,Cena,Contorni
7,Fagiolini,,Tuesday,Cena,Contorni
8,Finocchi,,Tuesday,Cena,Contorni
9,Insalata mista,,Tuesday,Cena,Contorni
10,Lattuga,,Tuesday,Cena,Contorni
11,Melanzane,,Tuesday,Cena,Contorni
12,Peperoni,,Tuesday,Cena,Contorni
13,Pomodori,,Tuesday,Cena,Contorni
14,Spinaci,,Tuesday,Cena,Contorni
15,Zucchine,,Tuesday,Cena,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Tuesday,Cena,Frutta_Fresca
0,Pane bianco,g 60,Tuesday,Cena,Pane
1,Pane integrale,g 70,Tuesday,Cena,Pane
0,Calamari,g 200,Tuesday,Cena,Pesce_Fresco
1,Coda di rospo,g 200,Tuesday,Cena,Pesce_Fresco
2,Dentice,g 200,Tuesday,Cena,Pesce_Fresco
3,Gamberi,g 200 (6 gamberoni o 40 gamberetti),Tuesday,Cena,Pesce_Fresco
4,Merluzzo o Nasello,g 200,Tuesday,Cena,Pesce_Fresco
5,Orata,g 200,Tuesday,Cena,Pesce_Fresco
6,Pesce spada,g 200,Tuesday,Cena,Pesce_Fresco
7,Platessa,g 200,Tuesday,Cena,Pesce_Fresco
8,Polpo,g 200,Tuesday,Cena,Pesce_Fresco
9,Salmone fresco,g 200,Tuesday,Cena,Pesce_Fresco
10,Seppie,g 200,Tuesday,Cena,Pesce_Fresco
11,Sgombro,g 200,Tuesday,Cena,Pesce_Fresco
12,Spigola,g 200,Tuesday,Cena,Pesce_Fresco
13,Tonno,g 200,Tuesday,Cena,Pesce_Fresco
14,Cozze, 50 circa,Tuesday,Cena,Pesce_Fresco
0,Olio, 5 cucchiaini,Tuesday,Arco_Della_Giornata,Olio
0,Caffè,1 Tazzina,Wednesday,Colazione,Caffe
1,Caffè decaffeinato,1 Tazzina,Wednesday,Colazione,Caffe
0,Asparagi,,Wednesday,Colazione,Contorni
1,Bieta,,Wednesday,Colazione,Contorni
2,Carote,,Wednesday,Colazione,Contorni
3,Cetrioli,,Wednesday,Colazione,Contorni
4,Cicoria,,Wednesday,Colazione,Contorni
5,Cime di rapa,,Wednesday,Colazione,Contorni
6,Cipolle,,Wednesday,Colazione,Contorni
7,Fagiolini,,Wednesday,Colazione,Contorni
8,Finocchi,,Wednesday,Colazione,Contorni
9,Insalata mista,,Wednesday,Colazione,Contorni
10,Lattuga,,Wednesday,Colazione,Contorni
11,Melanzane,,Wednesday,Colazione,Contorni
12,Peperoni,,Wednesday,Colazione,Contorni
13,Pomodori,,Wednesday,Colazione,Contorni
14,Spinaci,,Wednesday,Colazione,Contorni
15,Zucchine,,Wednesday,Colazione,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Wednesday,Colazione,Frutta_Fresca
0,Latte Parzialmente scremato di vacca,g 200,Wednesday,Colazione,Latte
0,Pane bianco,g 50,Wednesday,Colazione,Pane
1,Pane integrale,g 60,Wednesday,Colazione,Pane
0,Bulgur,g 80,Wednesday,Pranzo,Cereali
1,Couscous,g 80,Wednesday,Pranzo,Cereali
2,Farro g,80,Wednesday,Pranzo,Cereali
3,Orzo g,80,Wednesday,Pranzo,Cereali
4,Riso,g 80,Wednesday,Pranzo,Cereali
0,Asparagi,,Wednesday,Pranzo,Contorni
1,Bieta,,Wednesday,Pranzo,Contorni
2,Carote,,Wednesday,Pranzo,Contorni
3,Cetrioli,,Wednesday,Pranzo,Contorni
4,Cicoria,,Wednesday,Pranzo,Contorni
5,Cime di rapa,,Wednesday,Pranzo,Contorni
6,Cipolle,,Wednesday,Pranzo,Contorni
7,Fagiolini,,Wednesday,Pranzo,Contorni
8,Finocchi,,Wednesday,Pranzo,Contorni
9,Insalata mista,,Wednesday,Pranzo,Contorni
10,Lattuga,,Wednesday,Pranzo,Contorni
11,Melanzane,,Wednesday,Pranzo,Contorni
12,Peperoni,,Wednesday,Pranzo,Contorni
13,Pomodori,,Wednesday,Pranzo,Contorni
14,Spinaci,,Wednesday,Pranzo,Contorni
15,Zucchine,,Wednesday,Pranzo,Contorni
0,Caciottina,g 50,Wednesday,Pranzo,Formaggi_E_Latticini
1,Crescenza,g 100,Wednesday,Pranzo,Formaggi_E_Latticini
2,Feta,g 100,Wednesday,Pranzo,Formaggi_E_Latticini
3,Formaggio cremoso,g 100,Wednesday,Pranzo,Formaggi_E_Latticini
4,Galbanino,g 50,Wednesday,Pranzo,Formaggi_E_Latticini
5,Mozzarella,g 100,Wednesday,Pranzo,Formaggi_E_Latticini
6,Parmigiano,g 50,Wednesday,Pranzo,Formaggi_E_Latticini
7,Ricotta di vacca, g 100,Wednesday,Pranzo,Formaggi_E_Latticini
8,Scamorza, g 50,Wednesday,Pranzo,Formaggi_E_Latticini
9,Stracchino,g 100,Wednesday,Pranzo,Formaggi_E_Latticini
0,Mele,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Wednesday,Pranzo,Frutta_Fresca
0,Mele,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Wednesday,Merenda,Frutta_Fresca
0,Marmellata,1 cucchiaino,Wednesday,Merenda,Marmellata
0,Noci secche,g 10,Wednesday,Merenda,Noci
1,Anacardi,g 10,Wednesday,Merenda,Noci
2,Mandorle,g 10,Wednesday,Merenda,Noci
3,Nocciole,g 10,Wednesday,Merenda,Noci
0,Yogurt da latte intero,1 vasetto,Wednesday,Merenda,Yogurt
0,Agnello,g 150 (1 bistecca),Wednesday,Cena,Carne_Fresca
1,Coniglio,g 150(1 bistecca),Wednesday,Cena,Carne_Fresca
2,Coscia di pollo,g 150 (2 cosce),Wednesday,Cena,Carne_Fresca
3,Hamburger di manzo,g 150 (1 burger),Wednesday,Cena,Carne_Fresca
4,Hamburger di pollo,g 150 (1 burger),Wednesday,Cena,Carne_Fresca
5,Maiale bistecca,g 150 (1 bistecca),Wednesday,Cena,Carne_Fresca
6,Maiale magro,g 150(1 bistecca),Wednesday,Cena,Carne_Fresca
7,Manzo magro,g 150(1 bistecca),Wednesday,Cena,Carne_Fresca
8,Petto di pollo,g 150 (2 fette),Wednesday,Cena,Carne_Fresca
9,Petto di tacchino,g 150 (2 fette),Wednesday,Cena,Carne_Fresca
10,Vitello magro,g 150(1 bistecca),Wednesday,Cena,Carne_Fresca
0,Asparagi,,Wednesday,Cena,Contorni
1,Bieta,,Wednesday,Cena,Contorni
2,Carote,,Wednesday,Cena,Contorni
3,Cetrioli,,Wednesday,Cena,Contorni
4,Cicoria,,Wednesday,Cena,Contorni
5,Cime di rapa,,Wednesday,Cena,Contorni
6,Cipolle,,Wednesday,Cena,Contorni
7,Fagiolini,,Wednesday,Cena,Contorni
8,Finocchi,,Wednesday,Cena,Contorni
9,Insalata mista,,Wednesday,Cena,Contorni
10,Lattuga,,Wednesday,Cena,Contorni
11,Melanzane,,Wednesday,Cena,Contorni
12,Peperoni,,Wednesday,Cena,Contorni
13,Pomodori,,Wednesday,Cena,Contorni
14,Spinaci,,Wednesday,Cena,Contorni
15,Zucchine,,Wednesday,Cena,Contorni
0,Mele,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
1,Albicocche,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
2,Ananas,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
3,Banane,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
4,Fichi,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
5,Fragole,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
6,Kiwi,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
7,Mango,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
8,Melone estivo,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
9,Pere,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
10,Pesche,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
11,Prugne,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
12,Uva,150g (Quello che sta in una mano aperta),Wednesday,Cena,Frutta_Fresca
0,Pane bianco,g 90,Wednesday,Cena,Pane
1,Pane integrale,g 110,Wednesday,Cena,Pane
0,Olio, 5 cucchiaini,Wednesday,Arco_Della_Giornata,Olio
